% 1. Title: Question answer dataset
% 
% 2. Sources:
%      (a) Creator: Pooja lodhi
% 3. Attribute Information:
%	1. sentence 
%	2.type of question: (1)what , (2)what-happen , (3)where , (4)when

@RELATION question-tag

@ATTRIBUTE sentence	string
@ATTRIBUTE questiontag	{what, what-happen, where, when}

@DATA
'This list is available at each office reception',where
'This list is affixed to the inside cover of the Muster',where
'It has NEVER rained in Calama, a town in the Atacama Desert of Chile.',where
'It is illegal to hunt camels in the state of Arizona.',where
'The battle was fought in Kurukshetra near Delhi',where
'It is situated on the banks of river Yamuna at Agra',where
'wolves have scent glands between a wolfs toes',where
'The tallest monument built in the US',where
'There are more plastic flamingos in the US than real ones.',where
'It is against the law to burp or sneeze in a church in Omaha, Nebraska.',where
'Most of the vitamin C in fruit skin.',where
'500 miles north old Ghana in relation to present Ghana',where
'LRC is located in ABBIII building basement',where
'MML lab is in ABBII building',where
'In Spain, Mr. Clean is known as Don Limpio.',where
'fileserver has study material',where
'It is illegal to be overweight in Japan.',where
'study material has course discrption',where
'In Utah, it is against the law to fish from the back of a horse.',where
'time-table is located on filserver'where
'G1 is in ABBII building',where
'book is issued from lrc',where
'students can read newspaper in lrc',where
'student can view attendence on webkiskok',where
'alert line can be accessed from any telephone in North America',where
'fileserver can be accessed from any computer in lrc',where
'If you are over the age of 21, you may consume alcoholic beverages at official University functions on campus',what-happen
'Please visit the Information Technology website for information about University computing services and policies',where
'Noah ark landed on Mount Ararat in Eastern Turkey.',where
'Tulips, the symbol of Netherlands, originate from Turkey.',where
'An attendance register is available at the reception in different departments',where
'Kazakhstan is the largest gray wolf population thought to be found',where
'Grover Cleveland married in white house',where
'Qatar telecommunication system centered is in doho',where
'It is approved for usage in the EU, US and Australia and New Zealand.',where
'The National Orchid Garden, located within the Singapore Botanic Gardens',where
'xylophone originated in Indonesia',where
'harvesting wild turtles is legal in Florida',where
'frog lay eggs on land',where	
'Toucans live in tropical and sub-tropical jungle regions',where
'The Great Barrier Reef in Australia is the largest living structure in the world.',where
'The Niagara Falls are located on the border of the USA and Canada.',where
'The Old English word "swan," derived from the Indo-European root "swen", meaning to sound or to sing',where
'The monarch butterfly is native to the Americas, but in the nineteenth century or before, spread across the world, and is now found in Australia, New Zealand, other parts of Oceania, and the Iberian Peninsula.',where
'Tesla study electrical engineering at the Austrian Polytechnic in Graz',where
'Henri Becquerel is from Paris',where
'Charles Augustin de Coulomb was born in Angoulême in France.',where
'The construction of Fort Bourbon took place in Martinique.',where
'Charles-Augustin de Coulomb died in Paris.',where
'The violincello is held on the shoulder.',where
'air pollution in Beijing come from	surrounding cities and provinces',where
'Bullet ants are located in Central and South America.',where
'The Berliner Dom is located on the Spree Island across from the site of the Berliner Stadtschloss',where
'Tropical storms that form in the Atlantic or Northeast Pacific',where
'Popkomm was held in Cologne before moving to Berlin.',where
'The bust of Queen Nefertiti is in the Altes Museum.',where
'The Kven language is spoken in Northern Norway.',where
'I come from Bangkok.',where
'The movie was filmed in 2009 in Charleston, South Carolina .',where
'Brisket is a cut of meat from the breast or lower chest of beef or veal .',where
'Twenty Questions originated in the United States',where
'Satellites are made at ISRO Satellite Centre (ISAC), Bangalore.',where
'Rockets / Launch Vehicles are made at Vikram Sarabhai Space Centre (VSSC), Thiruvanathapuram.',where
'Indian Space Programme began at Thumba Equatorial Rocket Launching Station (TERLS) located at Thumba near Thiruvanathapuram.',where
'Chandrayaan-1 was launched from Satish Dhawan Space Centre at Sriharikota (SHAR), India.',where
'the Louvre Museum located in Paris, France',where
'Snakes are found on every continent of the world except Antarctica.',where
'Anacondas are large, non-venomous snakes found in South America',where
'Polar bears live in the Arctic.',where
'the settings are in the menu bar that can be accessed by clicking on the Airtel movies icon on the left corner of the top bar .',where
'Mumbai is located in India',where
'The largest private garden in London is located at Buckingham Palace',where
'It is situated on the east side of the Kushk river near its junction with the Murghab at Pul-i-Khishti',where
'a country gentleman house of moderate size, situated on the very banks of the river',where
'dress is in polybag',where
'Hurricanes usually form in tropical areas of the world.',where
'clothes are kept in cupboard',where
'Inauguration of Student Branch at Sandip Institute of Technology and Research Centre (SITRC), Nashik',where
'It was befitting that this edition of the Symposium was held in a small town located far away from Mumbai.',where
'fileserver can be accssed from mobile',where
'It also played in New York City',where
'applications for diplomatic and official passports are entertained only at the Consular, Passport and Visa (CPV) Division, Patiala House, New Delhi',where
